usuarioId,cursoId,fechaInicio,fechaFin,progreso,estado
101,201,2024-01-10,2024-06-15,85,activo
101,202,2024-03-01,2024-08-20,60,activo
102,203,2024-02-05,2024-07-10,90,finalizado
102,204,2024-04-12,2024-09-12,70,activo
102,205,2024-05-01,2024-10-01,45,activo
103,201,2024-01-15,2024-06-30,100,finalizado
103,203,2024-03-20,2024-08-30,75,activo
104,202,2024-02-22,2024-07-22,85,activo
104,205,2024-04-25,2024-09-25,55,inactivo
105,201,2024-01-30,2024-06-30,95,finalizado
105,202,2024-03-10,2024-08-10,65,activo
105,203,2024-04-05,2024-09-05,40,inactivo
106,204,2024-03-15,2024-08-15,70,activo
106,205,2024-05-20,2024-10-20,90,finalizado
107,201,2024-02-01,2024-07-01,80,activo
107,202,2024-03-18,2024-08-18,40,inactivo
108,203,2024-02-25,2024-07-25,75,activo
108,204,2024-04-10,2024-09-10,100,finalizado
108,205,2024-05-30,2024-10-30,60,activo
109,201,2024-01-20,2024-06-20,85,activo
109,205,2024-03-25,2024-08-25,50,inactivo
110,202,2024-02-05,2024-07-05,90,finalizado
110,203,2024-04-01,2024-09-01,65,activo
111,201,2024-03-18,2024-08-18,70,activo
111,204,2024-05-02,2024-10-02,60,inactivo
112,203,2024-01-12,2024-06-12,100,finalizado
112,205,2024-02-18,2024-07-18,80,activo
113,201,2024-03-10,2024-08-10,85,activo
113,202,2024-04-15,2024-09-15,50,inactivo
113,204,2024-05-05,2024-10-05,70,activo
114,203,2024-02-25,2024-07-25,95,finalizado
114,205,2024-03-18,2024-08-18,85,activo
115,201,2024-01-30,2024-06-30,65,activo
115,202,2024-03-05,2024-08-05,75,activo
115,203,2024-04-20,2024-09-20,55,inactivo
116,204,2024-02-28,2024-07-28,90,finalizado
116,205,2024-04-12,2024-09-12,70,activo
117,201,2024-01-22,2024-06-22,80,activo
117,203,2024-03-10,2024-08-10,95,finalizado
118,202,2024-04-05,2024-09-05,85,activo
118,204,2024-05-15,2024-10-15,60,inactivo
119,201,2024-03-02,2024-08-02,55,activo
119,202,2024-04-10,2024-09-10,75,activo
119,205,2024-05-20,2024-10-20,65,finalizado
120,203,2024-02-18,2024-07-18,90,activo
120,204,2024-03-28,2024-08-28,100,finalizado
